MAP metric
Rank	Model	Overall	Text	Title	List	Table	Figure
1	VGT	0.959	0.950	0.939	0.968	0.981	0.971
2	VSR	0.955	0.967	0.931	0.947	0.974	0.964
3	DETR	0.952	0.947	0.918	0.964	0.981	0.975
4	LayoutLMv3-B	0.946	0.945	0.906	0.955	0.979	0.970
5	DiT-L	0.944	0.944	0.893	0.960	0.978	0.972
6	UDoc	0.933	0.939	0.885	0.937	0.973	0.964
7	ResNext-101-32×8d	0.927	0.930	0.862	0.940	0.976	0.968
8	DeiT-B	0.925	0.934	0.874	0.921	0.972	0.957
9	BEiT-B	0.924	0.934	0.866	0.924	0.973	0.957
10	Mask-RCNN	0.9	0.916	0.840	0.886	0.960	0.949
11	Faster-RCNN	0.893	0.910	0.826	0.883	0.954	0.937
12	HURIDOCS	0.862	0.949	0.87	0.826	0.802	0.244

HURIDOCS metric
x	HURIDOCS	0.901	0.907	0.968	0.850	0.856	0.862
